Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Ivica Zubac,@ SAS,NBA,Fantasy Score,27,28.16,4.28%
Zach LaVine,vs MIA,NBA,Rebounds,5,4.79,-4.26%
Stephen Curry,vs HOU,NBA,Pts+Rebs,34,32.56,-4.24%
Jalen Green,@ GSW,NBA,Points,20.5,19.63,-4.23%
Keldon Johnson,vs LAC,NBA,Rebs+Asts,9,8.63,-4.16%
Jimmy Butler,@ CHI,NBA,Points,23.5,22.55,-4.06%
Anthony Edwards,vs NYK,NBA,Rebs+Asts,9.5,9.12,-3.97%
Karl-Anthony Towns,vs NYK,NBA,Rebs+Asts,12,12.47,3.92%
Jeremy Sochan,vs LAC,NBA,Pts+Asts,15.5,14.90,-3.86%
Jeremy Sochan,vs LAC,NBA,Pts+Rebs+Asts,20.5,21.29,3.85%
Jalen Green,@ GSW,NBA,Assists,3,3.11,3.81%
Coby White,vs MIA,NBA,Pts+Rebs+Asts,19.5,18.76,-3.79%
Andrew Wiggins,vs HOU,NBA,Pts+Rebs,17.5,16.84,-3.77%
Brandon Ingram,vs SAC,NBA,Rebs+Asts,11.5,11.93,3.70%
Brandon Ingram,vs SAC,NBA,Pts+Rebs+Asts,37.5,36.16,-3.57%
Klay Thompson,vs HOU,NBA,Rebounds,4,4.14,3.56%
Haywood Highsmith,@ CHI,NBA,Fantasy Score,16,15.44,-3.53%
Alperen Sengun,@ GSW,NBA,Pts+Rebs+Asts,33.5,32.33,-3.49%
Jae'Sean Tate,@ GSW,NBA,3-PT Made,0.5,0.48,-3.48%
Keldon Johnson,vs LAC,NBA,Fantasy Score,31,32.05,3.40%
DeMar DeRozan,vs MIA,NBA,Pts+Asts,26.5,27.40,3.39%
Victor Wembanyama,vs LAC,NBA,Fantasy Score,40.5,41.85,3.34%
Brandon Ingram,vs SAC,NBA,Pts+Rebs,31.5,30.46,-3.31%
Jalen Green,@ GSW,NBA,Pts+Asts,23.5,22.75,-3.21%
Paul George,@ SAS,NBA,Pts+Rebs+Asts,33.5,34.55,3.15%
Jae'Sean Tate,@ GSW,NBA,Rebounds,4,4.12,2.99%
Jalen Brunson,@ MIN,NBA,Pts+Asts,29,28.13,-2.99%
Tre Jones,vs LAC,NBA,Points,9.5,9.78,2.94%
Terance Mann,@ SAS,NBA,Pts+Rebs,12.5,12.87,2.93%
Alperen Sengun,@ GSW,NBA,Free Throws Made,3,2.92,-2.82%
Chris Paul,vs HOU,NBA,Pts+Rebs+Asts,25,24.31,-2.75%
Jabari Smith Jr.,@ GSW,NBA,Points,12.5,12.84,2.70%
Immanuel Quickley,@ MIN,NBA,Points,12.5,12.83,2.66%
Alex Caruso,vs MIA,NBA,Pts+Asts,10.5,10.23,-2.61%
Bam Adebayo,@ CHI,NBA,Rebounds,10.5,10.23,-2.59%
Jimmy Butler,@ CHI,NBA,Pts+Asts,28.5,27.78,-2.54%
De'Aaron Fox,@ NOP,NBA,Assists,6.5,6.34,-2.48%
Chris Paul,vs HOU,NBA,Pts+Rebs,16.5,16.89,2.39%
Victor Wembanyama,vs LAC,NBA,Pts+Rebs,29.5,28.80,-2.37%
Julius Randle,@ MIN,NBA,Pts+Asts,25.5,26.09,2.29%
Victor Wembanyama,vs LAC,NBA,Points,19.5,19.06,-2.27%
Bam Adebayo,@ CHI,NBA,Fantasy Score,42,41.09,-2.16%
Duncan Robinson,@ CHI,NBA,Pts+Rebs,18.5,18.11,-2.12%
Coby White,vs MIA,NBA,Points,12,11.75,-2.05%
Andrew Wiggins,vs HOU,NBA,Pts+Rebs+Asts,19,18.61,-2.05%
Jimmy Butler,@ CHI,NBA,Pts+Rebs,29.5,28.90,-2.05%
Jalen Brunson,@ MIN,NBA,Pts+Rebs+Asts,31.5,32.11,1.94%
Anthony Edwards,vs NYK,NBA,Free Throws Made,3.5,3.43,-1.93%
Zion Williamson,vs SAC,NBA,Assists,4.5,4.41,-1.92%
Fred VanVleet,@ GSW,NBA,Rebs+Asts,12,12.23,1.90%
Zach Collins,vs LAC,NBA,Pts+Asts,18.5,18.15,-1.89%
Fred VanVleet,@ GSW,NBA,Pts+Asts,26.5,27.00,1.88%
Alperen Sengun,@ GSW,NBA,Fantasy Score,39.5,40.23,1.86%
Jabari Smith Jr.,@ GSW,NBA,3-PT Made,1.5,1.47,-1.79%
Chris Paul,vs HOU,NBA,Pts+Asts,20.5,20.14,-1.78%
Jalen Green,@ GSW,NBA,Pts+Rebs,24.5,24.09,-1.66%
Kyle Anderson,vs NYK,NBA,Pts+Asts,11.5,11.31,-1.61%
Alex Caruso,vs MIA,NBA,Pts+Rebs+Asts,13.5,13.71,1.58%
Domantas Sabonis,@ NOP,NBA,Pts+Rebs,33.5,33.94,1.31%
Paul George,@ SAS,NBA,Fantasy Score,40.5,41.02,1.28%
Malik Monk,@ NOP,NBA,Assists,4.5,4.44,-1.25%
Kyle Anderson,vs NYK,NBA,Pts+Rebs+Asts,15.5,15.67,1.11%
Jimmy Butler,@ CHI,NBA,Pts+Rebs+Asts,34.5,34.13,-1.08%
Jalen Green,@ GSW,NBA,Pts+Rebs+Asts,27.5,27.21,-1.07%
Victor Wembanyama,vs LAC,NBA,Pts+Asts,22.5,22.27,-1.02%
Kawhi Leonard,@ SAS,NBA,Pts+Asts,26.5,26.77,1.01%
Jalen Green,@ GSW,NBA,Rebs+Asts,7.5,7.57,0.99%
Karl-Anthony Towns,vs NYK,NBA,Rebounds,8.5,8.42,-0.89%
Jalen Green,@ GSW,NBA,Rebounds,4.5,4.46,-0.88%
Zach Collins,vs LAC,NBA,Assists,4,3.97,-0.75%
Terance Mann,@ SAS,NBA,Pts+Asts,11,10.93,-0.68%
Paul George,@ SAS,NBA,Pts+Rebs,30.5,30.31,-0.63%
Andrew Wiggins,vs HOU,NBA,Fantasy Score,24,23.85,-0.63%
Stephen Curry,vs HOU,NBA,Pts+Asts,32.5,32.31,-0.58%
Julius Randle,@ MIN,NBA,Free Throws Made,4.5,4.53,0.57%
Alperen Sengun,@ GSW,NBA,Pts+Rebs,28.5,28.63,0.44%
Julius Randle,@ MIN,NBA,Rebs+Asts,13.5,13.45,-0.40%
Coby White,vs MIA,NBA,Pts+Rebs,15.5,15.45,-0.32%
Jalen Brunson,@ MIN,NBA,Pts+Rebs,26.5,26.42,-0.31%
Paul George,@ SAS,NBA,Pts+Asts,27.5,27.57,0.26%
Alex Caruso,vs MIA,NBA,Pts+Rebs,10.5,10.52,0.23%
Kawhi Leonard,@ SAS,NBA,Points,23.5,23.45,-0.21%
